song,artist
Ordinary,Sabrina Carpenter
Sorry I'm Here For Someone Else,Alex Warren
I Got Better,Morgan Wallen Featuring Tate McRae
Amen,Morgan Wallen
Beautiful Things,Kendrick Lamar & SZA
"Skoal, Chevy, And Browning",Morgan Wallen
Banned From NO,Shaboozey
Touch Me Like A Gangster,Lady Gaga & Bruno Mars
Falling Apart,Teddy Swims
Fix What You Didn't Break,Benson Boone
Good News,Chappell Roan
Birds Of A Feather,Drake
Whim Whamiee,Doechii
After All The Bars Are Closed,Leon Thomas
Mystical Magical,Post Malone Featuring Morgan Wallen
Kick Myself,Billie Eilish
Indigo,Sabrina Carpenter
Worst Way,Jessie Murph
I'm A Little Crazy,BigXthaPlug Featuring Bailey Zimmerman
No One Noticed,Riley Green
That's So True,Morgan Wallen
Lose Control,Morgan Wallen
Die With A Smile,Ravyn Lenae
EOO,ROSE & Bruno Mars
Kiss Her In Front Of You,Morgan Wallen Featuring Post Malone
Cotton Candy,SZA With Kendrick Lamar
Dark Thoughts,Tate McRae
Somebody Loves Me,Ella Langley
What I Want,Morgan Wallen
Just Keep Watching,Benson Boone
Eyes Are Closed,Benson Boone
Squabble Up,sombr
Pink Pony Club,The Weeknd & Playboi Carti
House Again,sombr
Party 4 U,Gracie Abrams
Gnarly,Lil Wayne & BigXthaPlug Featuring Jay Jones
Your Way's Better,Lola Young
Busy Woman,Morgan Wallen
Abracadabra,Shaboozey
OWA OWA,Mariah The Scientist
Burning Blue,Lady Gaga
Back To Friends,GloRilla
APT.,Kendrick Lamar Featuring Lefty Gunplay
Wildflower,Billie Eilish
Undressed,Megan Moroney
Typa,The Weeknd
Sharks,The Marias
If You Were Mine,Bailey Zimmerman & Luke Combs
Messy,Russell Dickerson
20 Cigarettes,Kendrick Lamar
A Bar Song (Tipsy),Tate McRae
Bells,Morgan Wallen
Where'd That Girl Go,Alex Warren With Jelly Roll
Me Jalo,"Lil Wayne, Jelly Roll & Big Sean"
Espresso,"MOLIY, Silent Addy, Skillibeng & Shenseea"
Rather Lie,Jessie Murph
Blue Strips,PARTYNEXTDOOR & Drake
Cry For Me,Thomas Rhett
Sports Car,Ed Sheeran
Happen To Me,Morgan Wallen
Peekaboo,Lil Wayne
Love Me Not,Lil Wayne
Cliche,Lil Tecca
30 For 30,Charli xcx
Welcome To Tha Carter,Lil Wayne
Thought It Was Love,PLUTO & YKNIECE
Weren't For The Wind,Sam Barber Featuring Avery Anna
Backup Plan,Forrest Frank
Just In Case,Lil Tecca
Mutt,Morgan Wallen
Fame Is A Gun,Morgan Wallen
Por Esos Ojos,Kendrick Lamar Featuring AzChike
Manchild,Addison Rae
Hip-Hop,Ed Sheeran
Nokia,Brandon Lake X Jelly Roll
TN,Kane Brown
Superman,Fuerza Regida
Sapphire,Hudson Westbrook
Anxiety,Morgan Wallen
Bloodline,Playboi Carti & The Weeknd
King Carter,Shaboozey & Jelly Roll
I Ain't Coming Back,Ty Myers
Shake It To The Max (Fly),Fuerza Regida
Type Dangerous,Morgan Wallen
Nice To Meet You,Morgan Wallen
Azizam,Fuerza Regida & Grupo Frontera
Am I Okay?,Morgan Wallen
Dark Til Daylight,Nate Smith
Tu Sancho,Morgan Wallen
Missing,KATSEYE
All The Way,Morgan Wallen
Marlboro Rojo,Bad Bunny
Backseat Driver,Lil Wayne & 2 Chainz
Luther,mgk
I Had Some Help,Mariah Carey
Timeless,Morgan Wallen
Love Somebody,Lil Wayne
TV Off,Sabrina Carpenter
Hard Fought Hallelujah,Myles Smith
I'm The Problem,Fuerza Regida
